,0
674,LLPH
675,C20ORF197
676,PEA15
677,H2AFJ
678,CCDC137
679,NEIL1
680,RBM19
681,ANKRD50
682,UQCR11
683,PSENEN
684,FGFBP1
685,DDX21
686,RPL18
687,REXO4
688,YBX2
689,RPL36
690,RPL11
691,NPM3
692,FGF13
693,DAXX
694,GNL2
695,SAA1
696,CNBP
697,EZH1
698,CBX6
699,CCDC140
700,RPS3
701,RPL17
702,TPX2
703,RRS1
704,H1FNT
705,HIST2H2AC
706,KRTAP19-7
707,GLI4
708,BHLHA15
709,IGFL3
710,SRSF5
711,ZBTB47
712,RPL13A
713,ANAPC15
714,PPAN
715,RPL35
716,RIPK4
717,AGPAT1
718,SSUH2
719,MBNL1
720,USP11
721,FBXO21
722,EP300
723,HTATSF1
724,JAK2
725,PTPN3
726,FGD5
727,VANGL2
728,MRFAP1
729,MORF4L1
730,MRE11A
731,HECTD1
732,NBR1
733,SLFN11
734,PER2
735,KLF12
736,KLF15
737,RB1CC1
738,KLF16
739,SOX15
740,TLX1
741,BRDT
742,KCNA3
743,VPR
744,BAG1
745,HERC5
746,CLUH
747,BAP1
748,RHOH
749,CDC42
750,RAC1
751,RAC2
752,RHOB
753,RHOC
754,RHOD
755,RHOF
756,RHOBTB1
757,RND2
758,SRSF1
759,EXOC7
760,SF1
761,U2AF1
762,TCERG1
763,YWHAG
764,YWHAB
765,PLRG1
766,RNPS1
767,BAK1
768,SFN
769,DNTT
770,SRSF11
771,RAB6B
772,SCAF11
773,RAB6A
774,SF3A2
775,SRRM1
776,CDC5L
777,CDC14A
778,CWC21
779,ISY1
780,USP42
781,OSBPL10
782,GIGYF2
783,SMARCA2
784,SMARCA4
785,CTNNBL1
786,PRPF19
787,SETMAR
788,TADA2A
789,TERF2
790,EGLN2
791,NOP56
792,MAD2L1
793,GLIS2
794,NONO
795,SFPQ
796,SMARCAD1
797,ARRB1
798,HNRNPA1
799,SH3KBP1
800,BCAS2
801,POLR2A
802,ALYREF
803,CWC15
804,HINFP
805,GRK5
806,SMAD3
807,TOP1
808,USB1
809,SRSF9
810,HNRNPM
811,SRSF2
812,SF3B3
813,SF3B6
814,SNRPD1
815,PRPF6
816,SNRPA1
817,SRSF7
