,InteractorA,InteractorB
745885,DDX21,EFTUD2
745910,DDX21,RBM39
745943,ILF3,RBM39
746002,ILF2,PUF60
746059,ILF3,SFPQ
746622,SAFB,SAP18
746625,SAP18,SEPT2
746626,ACIN1,SEPT7
746627,RBM39,SEPT7
746629,SAP18,SEPT7
746631,SAP18,PHGDH
746756,RBM39,S100A9
746758,S100A9,U2AF1
746764,SF3B6,S100A9
746791,EIF4A3,S100A9
746836,SEPT7,SRSF5
746866,NFIA,SAP18
747017,NHP2L1,ZC3H18
747038,CDC5L,ZC3H18
747311,BUD31,ZC3H18
747411,SAFB,SEPT7
747492,SEPT2,U2AF1
747524,NFIA,SRSF7
747529,SEPT7,SRSF7
747537,SAFB,ZC3H18
747611,SEPT2,SRSF5
747654,SAFB,USP39
747691,PHGDH,SRSF11
747813,SEPT2,U2AF2
747850,SEPT2,SRSF7
747901,S100A9,SAP18
747943,PHGDH,U2AF1
748002,EIF4A3,SMARCB1
748017,SAP18,TFPI
748156,ACIN1,SEPT2
748172,SF3B6,ZC3H18
748334,S100A9,ZC3H18
748425,ILF3,CHCHD4
748563,DDX21,NFIA
748607,SAFB,SRSF7
748798,RAN,RBM39
748854,USP39,ZC3H18
748864,S100A9,SRSF5
748998,S100A9,SRSF7
749262,RAN,U2AF1
749454,DHX9,NFIA
749794,CDC5L,SEPT7
749889,SF3B6,RAN
749938,ACIN1,S100A9
750122,RBM39,SEPT2
750354,SRSF7,TFPI
750423,PSIP1,SAP18
750431,SEPT2,ZC3H18
750439,SEPT7,U2AF1
750455,S100A9,SRSF11
750502,RNPS1,S100A9
750572,SEPT7,U2AF2
750593,DIDO1,U2AF1
750594,PHGDH,U2AF2
750780,PRPF3,SEPT2
751705,S100A9,U2AF2
751805,HP1BP3,NFIA
751806,HP1BP3,NXF1
752039,PHGDH,SRSF1
752125,SRSF11,TFPI
752280,ACIN1,NFIA
752282,HNRNPM,SEPT2
752336,PSIP1,ZC3H18
752793,SAFB,U2AF2
752965,ACIN1,SAFB
753178,BUD31,SEPT7
753515,DDX21,S100A9
753756,PSIP1,U2AF1
753801,PHGDH,SRSF5
754200,PRPF3,SEPT7
754324,SF3B1,TFPI
754389,HP1BP3,SRSF7
754394,HP1BP3,ZC3H18
754440,EIF4A3,PSIP1
797506,ESR1,DDX21
797511,ESR1,DHX9
797525,ESR1,HNRNPM
797558,ESR1,ILF2
797560,ESR1,MKI67
797578,ESR1,RPL13
797612,ESR1,SRSF1
797614,ESR1,SRSF7
797625,ESR1,U2AF2
797649,ESR1,EFTUD2
797678,ESR1,PPP1CA
797681,ESR1,PSIP1
797701,ESR1,SRSF6
797706,ESR1,SRPK1
797707,ESR1,SRPK2
797708,ESR1,SRRM2
797745,ESR1,SRSF5
797750,ESR1,SF3B1
800079,ILF3,NXF1
809262,ECT2,PPP1CA
809270,ECT2,SRSF1
809277,ECT2,YWHAB
809308,ECT2,PHGDH
809329,ECT2,SLFN11
811270,EIF4A3,ACIN1
811273,EIF4A3,SAP18
811279,MAGOH,ACIN1
811281,MAGOH,RNPS1
811282,MAGOH,SAP18
811293,EIF4A3,SRSF4
811294,EIF4A3,SRSF6
811295,EIF4A3,SRSF7
811299,MAGOH,SRSF5
